X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Facility_Name,Notification_ID,Facility_Address,Abatement_Contractor,Demo_Contractor,DateStartActual,MonthStart,DayStart,YearStart,DateEndActual,MonthEnd,DayEnd,YearEnd,GEOID10_Tract,ZCTA5CE10,DRPS_ResStr,D3_SurveyParcelID
-83.0579279750696,42.4206812187469,1,ParcelLocator_,M,100,A,"17232 JUSTINE ST, DETROIT, MI, 48212",13018720.,StreetAddress,,17232 JUSTINE ST,Detroit,MI,482,,20133345,17232 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2,23,2013,26163506400,48212,1,13018720.21030
-83.0579123498577,42.4200431650224,2,ParcelLocator_,M,100,A,"17184 JUSTINE ST, DETROIT, MI, 48212",13018712.,StreetAddress,,17184 JUSTINE ST,Detroit,MI,482,,20133344,17184 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2,23,2013,26163506400,48212,,13018712.21030
-83.0579209745396,42.4203724275735,3,ParcelLocator_,M,100,A,"17208 JUSTINE ST, DETROIT, MI, 48212",13018716.,StreetAddress,,17208 JUSTINE ST,Detroit,MI,482,,20133342,17208 JUSTINE,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2,23,2013,26163506400,48212,1,13018716.21030
-82.9972192141875,42.4421501238995,4,ParcelLocator_,M,100,A,"12513 E STATE FAIR, DETROIT, MI, 48205",21024251-2,StreetAddress,,12513 E. STATE FAIR,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20133333,12513 E. STATE,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163503200,48205,1,21024251-2
-82.9739660757454,42.4236397786327,5,ParcelLocator_,M,100,A,"14446 YOUNG ST, DETROIT, MI, 48205",21015494.,StreetAddress,,14446 YOUNG ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133330,14446 YOUNG,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163500500,48205,,21015494.21969
-82.9681866813633,42.4289095217881,6,ParcelLocator_,M,100,A,"14900 MAPLERIDGE ST, DETROIT, MI, 48205",21017428.,StreetAddress,,14900 MAPLERIDGE ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20133328,14900 MAPLERIDG,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163500600,48205,1,21017428.23397
-82.9819469140578,42.4417277294617,7,ParcelLocator_,M,100,A,"13847 TACOMA ST, DETROIT, MI, 48205",21023769.,StreetAddress,,13847 TACOMA ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133327,13847 TACOMA,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163503400,48205,1,21023769.26308
-82.9373072920754,42.4195910260436,8,ParcelLocator_,M,100,A,"10131 LANARK ST, DETROIT, MI, 48224",21068599.,StreetAddress,,10131 LANARK ST,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133326,10131 LANARK,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163500900,48224,1,21068599.21269
-83.008362027081,42.3740936309716,9,ParcelLocator_,M,100,A,"4556 MAXWELL AVE, DETROIT, MI, 48214",17008287.,StreetAddress,,4556 MAXWELL AVE,Detroit,MI,482,RESIDENTIAL STRUCTURE,20133322,4556 MAXWELL,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/29 00:00:00+00,1,29,2013,2013/01/30 00:00:00+00,1,30,2013,26163516000,48214,1,17008287.10732
-83.1072549280433,42.3178806064796,10,ParcelLocator_,M,100,A,"2117 CAVALRY ST, DETROIT, MI, 48209",16015117.,StreetAddress,,2117 CAVALRY ST,Detroit,MI,482,ABANDONE/VACANT STRUCTURE,20133315,2117 CAVALRY,,"1 WAY SERVICE, INC.",2013/01/28 00:00:00+00,1,28,2013,2013/01/29 00:00:00+00,1,29,2013,26163523200,48209,1,16015117.1491
-82.9589608807346,42.4008654480032,11,ParcelLocator_,M,100,A,"5583 MANISTIQUE ST, DETROIT, MI, 48224",21061447.,StreetAddress,,5583 MANISTIQUE ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133314,5583 MANISTIQUE,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163512100,48224,,21061447.16624
-83.0232008094669,42.3533923791642,12,ParcelLocator_,M,100,A,"2524 ELMWOOD ST, DETROIT, MI, 48207",13010428.,StreetAddress,,2524 ELMWOOD ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133313,2524 ELMWOOD,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163516800,48207,1,13010428.5792
-83.0134559223012,42.3608518824654,13,ParcelLocator_,M,100,A,"3102 CANTON ST, DETROIT, MI, 48207",15010009.001,StreetAddress,,3102 CANTON ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133312,3102 CANTON,,JOY CONSTRUCTION LEA,2013/01/17 00:00:00+00,1,17,2013,2013/01/26 00:00:00+00,1,26,2013,26163516300,48207,1,15010009.001
-82.9447787170594,42.4036903142882,14,ParcelLocator_,M,100,A,"5261 HAVERHILL ST, DETROIT, MI, 48224",21070225.,StreetAddress,,5261 HAVERHILL ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133311,5261 HAVERHILL,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163501300,48224,1,21070225.17295
-83.0345089818675,42.3735389826838,15,ParcelLocator_,M,100,A,"5518 MORAN RD, DETROIT, MI, 48211",13010254.,StreetAddress,,5518 MORAN RD,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133309,5518 MORAN,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163518500,48211,1,13010254.10518
-83.0395275292559,42.3754640846282,16,ParcelLocator_,M,100,A,"3165 MEDBURY AVE, DETROIT, MI, 48211",13003692.,StreetAddress,,3165 MEDBURY AVE,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133308,3165 MEDBURY,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163518500,48211,1,13003692.10919
-83.0134981208884,42.3609156115688,17,ParcelLocator_,M,100,A,"3106 CANTON ST, DETROIT, MI, 48207",15010009.002L,StreetAddress,,3106 CANTON ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133306,3106 CANTON,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163516300,48207,1,15010009.002L
-83.0253851300299,42.369699562462,18,ParcelLocator_,M,89.04,A,"6400 E HANCOCK AVE, DETROIT, MI, 48207",15000463.,StreetAddress,,6400 E HANCOCK ST,DETROIT,MI,482,ABANDONED RESIDENTIAL HOM,20133305,6400 E HANCOCK,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1,26,2013,26163516100,48207,1,15000463.9592
